location,Latitude,Longitude
571,-32.041752,115.762311
572,-37.382519,144.550416
574,-27.923086,153.337301
575,-31.859639,115.756337
576,-37.383,145.029955
577,-27.466436,152.992299
579,-34.221307,150.953017
580,-31.992304,115.882965
581,-33.933499,151.23595
582,-37.810264,145.213043
583,-33.783832,151.178059
584,-27.374354,152.88738
585,-33.875227,151.158756
586,-37.86552,144.685044
587,-37.886509,145.040082
589,-31.896542,116.029156
590,-33.813316,151.060362
591,-33.767202,151.157431
592,-31.940102,115.842738
593,-33.840378,151.158759
594,-35.297411,149.175677
595,-35.420674,149.088676
596,-38.146391,144.344086
598,-33.868567,151.178183
599,-34.493379,150.423925
600,-27.459841,153.014797
601,-33.780351,151.286492
602,-37.717638,143.658881
603,-37.778912,144.941624
604,-31.735132,115.736601
605,-26.71728,153.05149
606,-27.312179,152.990771
607,-33.290334,151.435032
608,-37.879056,144.983256
609,-33.634613,150.284734
610,-33.915132,151.17549
611,-33.749953,151.286731
612,-35.306615,138.582791
613,-31.981607,115.802621
615,-27.457512,152.974064
616,-31.941947,115.874737
618,-37.635784,144.051594
619,-37.851193,144.978395
620,-23.700358,133.880889
622,-27.54731,151.96439
623,-27.859457,153.353051
625,-27.486174,153.0467
626,-31.818125,115.852771
627,-37.906104,145.00821
628,-34.930906,138.623928
629,-34.943763,138.642857
630,-33.764297,151.092243
631,-33.765369,151.287119
632,-32.142249,115.982709
634,-33.773451,150.914674
636,-33.206113,138.617501
637,-33.826204,151.21243
638,-31.801955,115.838958
639,-33.876605,151.229679
640,-34.042209,150.750859
641,-31.90391,152.59988
642,-27.440371,152.99814
643,-34.914124,138.653856
644,-25,123
645,-28.183739,153.347276
646,-37.751081,142.04996
647,-33.815425,151.200731
648,-34.712486,135.852576
649,-31.900997,116.153904
650,-32.94581,151.745178
651,-33.642767,151.292303
652,-32.046158,115.815645
653,-37.838118,145.134914
654,-37.539899,143.828998
655,-28.818661,153.587159
656,-32.045957,115.834043
657,-37.691722,145.145035
658,-37.78271,145.020941
659,-27.629263,153.065631
660,-33.817708,151.170221
661,-37.976608,145.025423
662,-32.083539,115.919471
663,-33.79217,151.08688
664,-27.431226,153.093755
665,-33.892024,151.284551
666,-28.025982,153.351109
667,-34.93817,138.54755
668,-35.349275,149.242973
669,-34.959857,138.641138
670,-27.521978,152.948171
671,-38.633772,145.737253
672,-33.739288,151.211439
673,-28.551913,153.442691
674,-27.331257,153.010466
675,-27.410859,153.070853
676,-31.841216,116.07447
677,-27.873491,153.35678
678,-34.949018,138.629772
679,-37.87031,145.00721
680,-33.835578,151.19721
681,-33.850382,151.153995
682,-27.743153,153.232419
683,-32.051235,115.824994
684,-32.940791,151.698284
685,-33.906858,151.258089
686,-35.32047,149.150128
687,-27.532624,153.033601
688,-32.018797,115.751894
689,-34.892879,138.638038
690,-42.963675,147.077115
691,-33.97415,151.09795
692,-37.759575,145.325151
693,-37.798172,145.180857
695,-27.530207,152.910477
696,-33.899306,151.246803
697,-31.869812,115.831941
698,-27.486263,153.12679
699,-33.761535,151.209573
700,-37.271381,144.331149
701,-33.756744,151.071859
702,-33.869447,150.878047
703,-27.373841,152.941762
704,-32.051892,115.793428
705,-34.966129,138.59405
706,-33.865291,151.091629
707,-28.012063,153.424012
708,-34.933073,138.641875
709,-38.302326,145.145685
710,-33.942836,151.242835
711,-27.053341,153.146777
712,-33.733506,151.080793
713,-37.952339,145.042365
714,-37.794985,145.11345
719,-32.923323,117.185338
720,-36.245008,145.350577
721,-37.784014,145.009523
722,-33.902902,151.259908
723,-33.617567,115.101661
724,-27.470775,153.104846
725,-33.862123,151.179008
726,-33.512332,151.345794
727,-27.528481,153.056985
728,-34.932538,138.543653
729,-31.87575,115.955811
730,-27.545588,152.919878
731,-38.146714,145.844289
732,-33.885035,151.184736
733,-27.498574,153.027826
734,-37.779078,144.978264
735,-33.969537,151.116843
736,-33.808847,151.262946
737,-19.294988,146.786427
738,-33.772951,150.960374
739,-33.934247,151.032163
740,-35.270615,149.133208
741,-42.982554,147.319969
742,-32.06577,115.846458
743,-35.140123,138.503351
744,-28.101927,153.430841
745,-34.944361,138.653875
746,-34.055282,151.10081
747,-33.716724,151.297425
749,-33.026341,151.650023
750,-27.37945,152.988682
751,-28.055,153.411399
752,-27.474173,153.064889
753,-35.219971,138.524302
754,-33.358417,151.48228
755,-33.895544,151.272687
756,-36.994966,144.261129
757,-31.87622,115.75255
758,-33.897254,151.266205
759,-37.534347,143.875306
760,-32.005038,115.973587
761,-34.850539,138.704883
762,-33.992914,151.114546
763,-35.39701,143.553767
764,-37.817235,145.176111
765,-28.315242,153.569793
767,-27.858888,153.309546
768,-34.071669,151.112449
769,-33.26707,149.17685
770,-38.375513,144.992955
771,-37.548657,144.652808
772,-31.998334,115.762682
773,-27.994974,153.371831
774,-27.881118,153.396848
775,-34.740027,150.768622
776,-33.900894,151.214993
777,-27.36965,153.007349
778,-33.833875,150.959236
779,-33.789552,151.256674
780,-31.930051,115.894701
781,-33.800338,151.238807
782,-35.278361,149.137616
783,-33.703949,150.930171
784,-27.446855,153.056392
786,-27.817688,152.751569
787,-27.066277,153.104224
788,-33.915599,151.20725
789,-33.893021,151.166502
790,-32.102947,115.797357
791,-27.639785,153.128056
792,-33.902747,151.241512
793,-33.883155,151.203658
794,-33.973133,151.020411
795,-34.964093,138.635178
796,-27.384498,153.095524
797,-34.900998,138.600629
798,-37.699446,144.888073
799,-27.521038,152.941989
800,-27.412191,152.971811
801,-26.480414,153.095667
802,-33.912728,151.056365
803,-27.531965,153.012101
804,-33.859316,151.196031
805,-41.18608,146.37107
806,-37.676071,144.439489
807,-33.833116,151.14026
808,-35.007515,138.721018
809,-33.685717,150.918111
810,-33.323715,115.718261
811,-26.719894,153.129702
812,-34.13496,150.66417
814,-34.988216,138.515363
815,-38.179429,144.363305
816,-33.870668,151.250732
817,-37.287248,142.917653
818,-33.974261,151.231003
819,-33.885338,151.141165
820,-37.6399,144.880714
821,-37.627934,144.793247
822,-33.969674,151.115578
823,-32.178003,152.496083
824,-27.500963,153.062008
825,-27.241719,153.024505
826,-38.342689,144.301151
827,-33.978652,151.105807
828,-27.499641,153.075961
829,-37.707393,144.748122
830,-37.767939,144.811908
831,-37.988006,145.252533
832,-26.819844,153.11194
833,-37.901242,145.086635
834,-33.663625,115.032877
835,-37.722224,145.379016
836,-35.357022,149.088132
837,-37.736689,145.13436
838,-32.786193,151.624867
839,-35.321063,149.142277
840,-32.036233,115.784513
841,-33.886215,151.039847
842,-33.730001,151.131342
843,-27.458612,153.046099
844,-19.271162,146.794416
845,-33.790833,151.22358
846,-33.893841,151.263185
848,-31.795636,115.968145
849,-33.464383,150.843486
850,-27.42137,153.044178
851,-27.570673,151.966966
852,-32.65975,137.803595
853,-31.918222,115.791892
854,-21.436063,149.221853
855,-27.227271,153.114966
856,-33.596971,151.322048
857,-31.980289,152.572272
858,-27.316734,153.048517
859,-27.499086,153.046441
860,-31.894034,115.766871
861,-35.338578,149.295874
862,-31.954097,115.809407
863,-32.078218,152.487457
864,-26.743172,150.633757
865,-36.798144,144.228479
867,-33.336093,151.377817
868,-37.71383,145.148537
869,-38.034752,145.120303
870,-31.77234,115.782395
871,-27.52664,153.00641
872,-31.948435,115.857395
873,-34.175463,150.608384
874,-33.93833,151.018675
875,-27.487123,153.036355
876,-35.33887,149.07664
877,-33.998476,150.841786
878,-33.728989,151.266684
879,-37.689736,144.960709
880,-36.142581,145.598639
881,-33.75159,151.24433
882,-27.472847,153.047733
883,-32.030644,115.81645
884,-33.833765,151.110888
885,-31.938849,116.012015
886,-28.141938,153.440437
887,-28.690645,153.610023
889,-33.9364,151.120902
890,-33.892534,150.962444
891,-33.704327,150.930434
892,-26.005381,153.057271
893,-33.89111,150.998569
894,-33.792621,151.161938
895,-33.886473,151.096599
896,-37.879244,144.700081
897,-34.908924,138.549644
898,-30.985457,150.203927
899,-33.773106,151.266004
900,-38.644081,146.23694
901,-27.521656,152.922256
902,-36.687614,149.837991
903,-32.078153,115.761207
904,-37.707446,144.938118
905,-27.561417,152.920312
906,-33.774201,151.066477
907,-12.451462,130.931284
908,-33.72448,151.122234
909,-35.31731,149.1101
910,-28.408434,153.556287
911,-31.837449,115.78977
912,-37.797965,145.08422
913,-16.840529,145.692502
914,-17.026957,128.221649
915,-33.870932,151.119747
916,-34.884414,118.012198
917,-32.81112,151.64181
918,-32.042253,116.001765
919,-33.696599,150.990231
920,-37.878046,144.719456
921,-37.824166,144.869589
922,-12.480214,130.984328
923,-37.65395,145.85387
924,-34.822928,138.73658
925,-31.895628,115.782335
926,-33.793918,151.06592
927,-28.114026,153.440263
929,-33.838681,121.871972
930,-30.248667,153.137549
931,-27.58786,151.97089
932,-37.89261,145.045835
933,-33.94293,150.899839
934,-33.937963,151.107124
935,-27.417063,153.04588
936,-32.939972,151.764093
937,-37.80113,145.16012
938,-33.708786,151.105461
939,-34.317441,150.903659
940,-37.41883,145.001209
941,-26.714608,153.049417
942,-28.041294,153.407034
943,-37.25676,144.45182
944,-34.019175,150.761523
945,-34.952183,138.643433
946,-34.292757,150.944932
947,-37.958986,145.124512
948,-34.919314,138.54859
949,-33.847181,151.284714
950,-37.591536,144.893615
951,-33.72798,150.91668
952,-23.141487,150.737297
954,-38.163914,144.385508
955,-34.891718,138.65095
956,-33.574496,150.713993
957,-27.566487,153.21082
959,-37.902634,145.295674
960,-33.823775,150.987395
961,-37.778691,144.699948
962,-33.86684,150.83147
963,-33.915987,151.067157
964,-27.345902,152.876785
965,-34.933312,138.656285
966,-33.758442,151.049087
967,-33.935202,151.008602
968,-32.06002,150.87119
970,-33.820806,150.962416
971,-37.727734,145.065576
972,-35.067329,138.624802
973,-35.248782,149.070399
974,-27.353145,152.991564
975,-37.86709,145.229385
976,-32.12716,115.79143
977,-33.894965,151.216273
978,-26.673236,153.095432
979,-38.085592,145.20764
980,-33.823448,151.094996
981,-34.883209,138.584761
982,-27.123275,152.958575
983,-32.710285,151.515538
984,-32.081958,115.875523
985,-33.759761,150.760835
986,-27.36595,153.0485
987,-33.565888,115.816482
988,-35.042363,138.530337
989,-36.929279,144.459509
990,-27.56424,151.950943
991,-33.795989,150.97898
992,-37.857775,145.107708
993,-38.220187,146.158023
994,-34.022513,151.023024
995,-27.497997,153.011567
996,-33.670725,115.376475
997,-35.243558,149.043379
998,-33.744133,150.936011
999,-27.491216,153.222179
1000,-34.073045,150.81443
1001,-33.863802,151.042381
1002,-23.37248,150.530304
1003,-32.867791,134.328119
1004,-27.63729,153.11328
1005,-33.111273,151.138861
1006,-33.912036,151.158581
1007,-33.905064,151.137872
1008,-33.81164,151.17369
1009,-37.556967,143.859997
1010,-27.645912,153.042047
1011,-33.722865,151.097251
1012,-37.754799,144.736356
1013,-33.937099,151.251974
1014,-34.958419,138.585269
1015,-32.029156,115.941453
1017,-33.974713,150.949936
1018,-33.846301,151.230381
1019,-38.108406,145.276552
1020,-33.871217,150.936158
1021,-30.656933,152.987482
1022,-33.774244,151.266126
1023,-34.914123,138.653863
1024,-37.987228,145.06468
1025,-33.796536,150.938521
1026,-32.013097,115.904177
1028,-35.180054,150.58588
1029,-34.054654,150.775252
1030,-33.42556,151.409287
1031,-34.877479,138.529876
1032,-37.899967,145.070131
1033,-32.704469,151.47923
1034,-28.191989,148.730034
1035,-27.380895,153.031466
1036,-33.686642,151.009666
1037,-26.661607,152.995461
1038,-31.835606,115.857484
1039,-32.066975,115.879178
1040,-38.048848,147.162962
1041,-31.913959,115.956345
1042,-34.105687,150.800619
1043,-19.241004,146.799079
1044,-33.764505,151.105121
1045,-33.243845,151.495324
1046,-30.748526,121.460197
1047,-26.654224,153.100437
1048,-38.007667,145.085857
1049,-32.30774,115.724655
1050,-33.951421,150.996181
1051,-34.058694,151.081478
1052,-37.067274,144.220524
1053,-37.813414,145.061788
1054,-32.080843,115.754324
1055,-26.742399,152.916875
1056,-34.48173,139.005067
1057,-32.19191,115.783565
1058,-28.160025,153.510083
1059,-33.953235,151.032603
1060,-33.385101,151.472426
1061,-27.476137,153.065712
1062,-16.94656,145.73265
1063,-32.883072,151.732454
1064,-36.72631,142.21201
1065,-38.147927,145.198672
1066,-33.80804,151.068477
1067,-35.328537,149.158283
1068,-33.831338,151.186518
1069,-38.175046,144.34436
1071,-35.405161,149.144846
1072,-28.194718,153.527694
1073,-35.27167,149.12995
1074,-33.886178,151.194133
1075,-35.322257,149.05788
1076,-33.88406,151.19803
1077,-36.894465,146.256507
1078,-33.875611,151.128654
1079,-37.720017,145.053304
1080,-35.250656,149.139067
1081,-27.642618,153.143988
1082,-37.898438,145.01253
1083,-33.849913,151.216295
1084,-33.81717,151.16095
1085,-33.166162,151.612046
1086,-37.776544,145.078646
1088,-35.005099,138.522006
1089,-33.85355,150.99185
1090,-37.924999,145.212565
1091,-34.8527,138.5089
1092,-33.50363,151.42237
1093,-31.898079,115.802076
1094,-34.42418,150.89355
1095,-25.28737,152.832798
1096,-23.395243,150.529466
1097,-38.050455,145.119269
1098,-33.665114,150.650802
1099,-34.95283,138.64317
1100,-36.132486,144.758784
1101,-38.175587,144.342666
1102,-27.45407,153.06139
1103,-37.856902,144.897698
1104,-28.45719,153.50146
1105,-35.385924,149.20097
1106,-18.65136,146.13616
1107,-35.26228,149.14587
1108,-35.12973,147.37333
1109,-33.02575,151.60601
1111,-33.77046,150.775317
1112,-35.32077,149.03138
1113,-42.923327,147.260747
1114,-33.873875,151.225335
1115,-35.314731,149.12987
1116,-26.687612,153.115499
1117,-33.918092,151.104747
1118,-30.108145,150.275755
1119,-19.94588,147.03434
1120,-33.437614,151.353286
1121,-19.291619,146.795077
1122,-19.245827,146.795727
1123,-37.79505,144.8662
1124,-27.518479,153.013784
1125,,
